tweet,index,truncated,Language,username
"RT @DocumentingBTC: Tomorrow, the 19,000,000th #bitcoin will be mined.",0,False,en,833DrCrypto
"RT @TheApeList_: 🎉 3 WL GIVEAWAY 🎉

Mindblowon known as @tahilalats is an up-coming project that has collaborated with big brands and artis…",1,False,en,lindsayrossillo
NFTゲームギルド「LGG」、スマホゲームでシングルマザーの家計を支援！安心して子どもを育てられる社会の実現へ！ | ゲーム・エンタメ最新情報のファミ通.com - ファミ通.com https://t.co/skPmGCZdmh #NFT,2,False,ja,nft_blockchain
"Top cryptocurrency prices today: Bitcoin, Dogecoin, Ethereum, Shiba Inu fall up to 10% - Economic Times https://t.co/U3aszK16dG",3,False,en,stockexamen
"RT @realTime2Burn1: If you're a long term holder like myself, represent the BEST tech in #DEFI, cuz Dubai's Crypto Expo said so, and get yo…",4,False,en,MehdiDarabi19
who got an @TombStonedHS? artwork fire 🔥🔥 also community is there 💪🏾. put your @TombStonedHS in the comments #nft… https://t.co/2CmCWDs0mN,5,True,en,daaquann
"4h Close - Bearish Coins 🧸
$HNT $OGN $KNC $SLP $MANA 
⬇ Price Below Kumo
🔀 Bearish TK Cross
🟥 Bearish Kumo
⬇ Chikou… https://t.co/sl1ln5zXgP",6,True,en,IchimokuBot
RT @stevezywica: @cz_binance Probably Nothing is right... It's the only token poised for a major breakout because it's about to be smack in…,7,False,en,steelersfan331
"4h Close - Bullish Coins 🤑
$RAD $TKO $BETA $STRAX $AAVE 
⬆ Price Above Kumo
🔀 Bullish TK Cross
🟩 Bullish Kumo
⬆ Chi… https://t.co/1mwu3rVpfs",8,True,en,IchimokuBot
"@MartiniGuyYT #1000xGem #ETH $MSHIBA

Join the Telegram Community Now!
https://t.co/8dlGT9HePQ

MSHIBA is revolutio… https://t.co/doBIBM9vSc",9,True,en,Kraken_0310
RT @mabling: #ShapeShift #DAO launches #NFT auction in support of female artists https://t.co/pQLcF1ETb1,10,False,en,833DrCrypto
@murdockmurr @MichaelTuhonia https://t.co/gmLbt1zRED,11,False,und,AppleCryptoPx
"Hey @enima514, Congrats! You've been selected for a private role in @glyphicnfts's exclusive community of NFT inves… https://t.co/CN2OJRoJZ2",12,True,en,Elwanda49813759
"RT @OreoNFT: 🎉Huge Giveaway🎉 

Prizes 🎁: 2 ETH (split among 8 winners) &amp; 50 WL spots

To Enter:
✅Follow @metacivies 
✅Like, RT, &amp; Tag 3 fri…",13,False,en,lechytie
"@TebogoNAS 💎BucksBunny💎

$BBNY launches today March 31, 8pm utc! 📢🚨 

The Presale ends 04/01/22 8pm utc.✅

More upc… https://t.co/nKFKZ01ZtG",14,True,en,KolekAtos
"RT @AlienApeYC: MAAYC ~ Giveaway! 

100$ and 10 WL Spots!

We are going to give away 10 whitelist spots on this post! AAYC holders will be…",15,False,en,_bbleepblop
@GariToken This $GARI public mint is awesome guys. Don't miss out about this great project guys @escodec… https://t.co/PgfCQXXVDH,16,True,en,_SunGodNika_
"Hey @Daignrd, Congrats! You've been selected for a private role in @glyphicnfts's exclusive community of NFT invest… https://t.co/lx0B0b8mw9",17,True,en,MarqueriteUsto1
"Top cryptocurrency prices today: Bitcoin, Dogecoin, Ethereum, Shiba Inu fall up to 10% - Economic Times https://t.co/uNOXLZ5nhP",18,False,en,wholesome_nft
"RT @The_Delysium: 💥N.E. Poster | READY TO LAUNCH💥

⚡️Pre-Sale: April 1 20:00 UTC+8
⚡️Fair Launch: April 2, 20:00 UTC+8

🔻Platform🔻

▶️ @The…",19,False,en,matchavou
Apa Itu Kuota TSEL SEPUASNYA Dari TELKOMSEL? Inilah Penjelasannya: Jangan lupa membaca artikel sebelumnya mengenai&gt;… https://t.co/kO0rbcpUmC,20,True,in,RamelMelda
