	Original	Cleaned	Sentiment
0	"Hulu in May: Get ready for Sally Rooney’s romantic drama ""Conversations With Friends,"" a Sex Pistols miniseries, a ""Letterkenny"" spinoff and much more.
https://t.co/bjMDfOrvuR"	hulu in may get ready for sally rooney’s romantic drama conversations with friends a sex pistols miniseries a letterkenny spinoff and much more	Sentiment(polarity=0.2333333333333333, subjectivity=0.5)
1	"This contrarian investor tells investors how to position their portfolios now for the bear market he expects by summer.
https://t.co/aKRCG1DSPX"	this contrarian investor tells investors how to position their portfolios now for the bear market he expects by summer	Sentiment(polarity=0.0, subjectivity=0.0)
2	What is Earth Day? Why celebrating it matters to your money and your health https://t.co/QFEoSzY33q	what is earth day why celebrating it matters to your money and your health	Sentiment(polarity=0.0, subjectivity=0.0)
3	Major airlines including Delta, United and American Airlines now say masks will be optional. Train travelers and employees on Amtrak are no longer required to wear masks. Greyhound said masks are now optional, except for trips into Mexico and Canada. https://t.co/yXbD915ZOO	major airlines including delta united and american airlines now say masks will be optional train travelers and employees on amtrak are no longer required to wear masks greyhound said masks are now optional except for trips into mexico and canada	Sentiment(polarity=0.03125, subjectivity=0.25)
4	"The U.S. Centers for Disease Control and Prevention’s mask mandate for public transit was supposed to run until May 3.

Here’s where masks are still required after the federal mandates were voided.

https://t.co/GGg7t74VyE"	the us centers for disease control and prevention’s mask mandate for public transit was supposed to run until may 3 here’s where masks are still required after the federal mandates were voided	Sentiment(polarity=0.0, subjectivity=0.06666666666666667)
5	Need to get a grip on your financial life? Join MarketWatch’s Mastering Your Money special event today. https://t.co/jG1KKVLYsu	need to get a grip on your financial life join marketwatch’s mastering your money special event today	Sentiment(polarity=0.17857142857142858, subjectivity=0.2857142857142857)
6	"The plane turned out to be a military aircraft with people parachuting out of it for a demonstration.
https://t.co/LeWr7QKIDz"	the plane turned out to be a military aircraft with people parachuting out of it for a demonstration	Sentiment(polarity=-0.1, subjectivity=0.1)
7	"The war in Ukraine added to inflationary pressures by raising prices for oil, metals and grains, and fresh COVID outbreaks in China “worsened supply chain disruptions,” the Fed noted.

https://t.co/DrakOnmUd8"	the war in ukraine added to inflationary pressures by raising prices for oil metals and grains and fresh covid outbreaks in china “worsened supply chain disruptions” the fed noted	Sentiment(polarity=0.3, subjectivity=0.5)
8	"‘No threat to Capitol’; Police issue all-clear after evacuation order.
https://t.co/EdoXHGj6C2"	‘no threat to capitol’ police issue allclear after evacuation order	Sentiment(polarity=0.0, subjectivity=0.0)
9	"The ruling came just hours after the Tesla CEO’s lawyer filed a document in the case saying that a gag order would trample on Musk’s free speech rights.
https://t.co/WmIz8IyvDf"	the ruling came just hours after the tesla ceo’s lawyer filed a document in the case saying that a gag order would trample on musk’s free speech rights	Sentiment(polarity=0.4, subjectivity=0.8)
10	"U.S. Capitol Police have ordered the evacuation of the Capitol complex, saying they are “tracking an aircraft that poses a probable threat.”
https://t.co/RFrMzP4eDo"	us capitol police have ordered the evacuation of the capitol complex saying they are “tracking an aircraft that poses a probable threat”	Sentiment(polarity=-0.3, subjectivity=0.4)
11	"The Justice Department is filing an appeal seeking to overturn a judge’s order that voided the federal mask mandate on planes, trains and travel hubs, officials said Wednesday.
https://t.co/uEbXi5JCep"	the justice department is filing an appeal seeking to overturn a judge’s order that voided the federal mask mandate on planes trains and travel hubs officials said wednesday	Sentiment(polarity=0.0, subjectivity=0.0)
12	"Netflix surely hopes a new season of ""Stranger Things"" lures back some of those lost subscribers.
https://t.co/53MBGJqpzx"	netflix surely hopes a new season of stranger things lures back some of those lost subscribers	Sentiment(polarity=0.21212121212121213, subjectivity=0.4478114478114478)
13	Mask mandates on planes are popular with majority of Americans, poll finds https://t.co/i075WBFV5T	mask mandates on planes are popular with majority of americans poll finds	Sentiment(polarity=0.6, subjectivity=0.9)
14	"Surprise: United Airlines ""has a bullish outlook on the future"" and now expects to post a profit in 2022.
https://t.co/yndxPQLMhX"	surprise united airlines has a bullish outlook on the future and now expects to post a profit in 2022	Sentiment(polarity=0.0, subjectivity=0.125)
15	"Republican Michigan state Sen. Lana Theis insinuated that Democratic state Sen. Mallory McMorrow wanted to “groom and sexualize kindergarteners” in a campaign email. 

McMorrow’s response in a Senate floor speech on Tuesday has gone viral.

https://t.co/w1k3tJLGDF"	republican michigan state sen lana theis insinuated that democratic state sen mallory mcmorrow wanted to “groom and sexualize kindergarteners” in a campaign email mcmorrow’s response in a senate floor speech on tuesday has gone viral	Sentiment(polarity=0.0, subjectivity=0.0)
16	"Tesla's stock is rallying in after-hours trading. And yes, Elon Musk plans to be on today's earnings call. 
https://t.co/1LNUtV0O3Y"	teslas stock is rallying in afterhours trading and yes elon musk plans to be on todays earnings call	Sentiment(polarity=0.0, subjectivity=0.0)
17	"“We think a hard landing will ultimately be unavoidable by late ‘23 / early ‘24 after an aggressive series of Fed hikes over the next 18 months,” said Jim Reid, head of thematic research at Deutsche Bank.

https://t.co/wwJHzjHsf5"	“we think a hard landing will ultimately be unavoidable by late ‘23  early ‘24 after an aggressive series of fed hikes over the next 18 months” said jim reid head of thematic research at deutsche bank	Sentiment(polarity=-0.08194444444444444, subjectivity=0.4069444444444444)
